date,cash,position_shares,close,market_value,equity,daily_return,cum_return,running_peak,drawdown,symbol,test_start
2024-10-08,98892.45999999999,0,489.3,0.0,98892.45999999999,0.0,-0.011075400000000069,100000.0,-0.011075400000000069,QQQ,2024-07-18
2024-10-09,98892.45999999999,0,493.15,0.0,98892.45999999999,0.0,-0.011075400000000069,100000.0,-0.011075400000000069,QQQ,2024-07-18
2024-10-10,98892.45999999999,0,492.59,0.0,98892.45999999999,0.0,-0.011075400000000069,100000.0,-0.011075400000000069,QQQ,2024-07-18
2024-10-11,98892.45999999999,0,493.36,0.0,98892.45999999999,0.0,-0.011075400000000069,100000.0,-0.011075400000000069,QQQ,2024-07-18
2024-10-14,98892.45999999999,0,497.5,0.0,98892.45999999999,0.0,-0.011075400000000069,100000.0,-0.011075400000000069,QQQ,2024-07-18
2024-10-15,49109.45999999999,100,490.85,49085.0,98194.45999999999,-0.007058172079044245,-0.018055400000000055,100000.0,-0.018055400000000055,QQQ,2024-07-18
2024-10-16,100000.0,0,490.91,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-17,100000.0,0,491.25,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-18,100000.0,0,494.47,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-21,100000.0,0,495.42,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-22,100000.0,0,495.96,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-23,100000.0,0,488.36,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-24,100000.0,0,492.32,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-25,100000.0,0,495.32,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-28,100000.0,0,495.4,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-29,100000.0,0,500.16,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-30,100000.0,0,496.38,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-10-31,100000.0,0,483.85,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-01,100000.0,0,487.43,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-04,100000.0,0,486.01,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-05,100000.0,0,492.21,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-06,100000.0,0,505.58,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-07,100000.0,0,513.54,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-08,100000.0,0,514.14,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-11,100000.0,0,513.84,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-12,100000.0,0,512.91,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-13,100000.0,0,512.25,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-14,100000.0,0,508.69,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-15,100000.0,0,496.57,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-18,100000.0,0,500.02,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-19,100000.0,0,503.46,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-20,100000.0,0,503.17,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-21,100000.0,0,504.98,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-22,100000.0,0,505.79,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-25,100000.0,0,506.59,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-26,100000.0,0,509.31,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-27,100000.0,0,505.3,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-11-29,100000.0,0,509.74,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-12-02,100000.0,0,515.29,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-12-03,100000.0,0,516.87,0.0,100000.0,0.0,0.0,100000.0,0.0,QQQ,2024-10-16
2024-12-04,47967.99999999999,100,523.26,52326.0,100294.0,0.0029399999999999427,0.0029399999999999427,100294.0,0.0,QQQ,2024-10-16
2024-12-05,47967.99999999999,100,521.81,52180.99999999999,100148.99999999999,-0.001445749496480464,0.0014899999999997693,100294.0,-0.001445749496480464,QQQ,2024-10-16
2024-12-06,47967.99999999999,100,526.48,52648.0,100616.0,0.004663052052441996,0.006159999999999943,100616.0,0.0,QQQ,2024-10-16
2024-12-09,47967.99999999999,100,522.38,52238.0,100206.0,-0.0040748986244733,0.0020599999999999508,100616.0,-0.0040748986244733,QQQ,2024-10-16
2024-12-10,47967.99999999999,100,520.6,52060.0,100028.0,-0.0017763407380795293,0.000280000000000058,100616.0,-0.00584400095412263,QQQ,2024-10-16
2024-12-11,47967.99999999999,100,529.92,52991.99999999999,100959.99999999999,0.009317391130483355,0.009599999999999831,100959.99999999999,0.0,QQQ,2024-10-16
2024-12-12,47967.99999999999,100,526.5,52650.0,100618.0,-0.003387480190174208,0.006180000000000074,100959.99999999999,-0.003387480190174208,QQQ,2024-10-16
2024-12-13,47967.99999999999,100,530.53,53053.0,101021.0,0.00400524757001719,0.010210000000000052,101021.0,0.0,QQQ,2024-10-16
2024-12-16,47967.99999999999,100,538.17,53816.99999999999,101784.99999999999,0.007562783975608944,0.01784999999999992,101784.99999999999,0.0,QQQ,2024-10-16
2024-12-17,101289.29,0,535.8,0.0,101289.29,-0.0048701675099473984,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-18,101289.29,0,516.47,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-19,101289.29,0,514.17,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-20,101289.29,0,518.66,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-23,101289.29,0,522.87,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-24,101289.29,0,529.96,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-26,101289.29,0,529.6,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-27,101289.29,0,522.56,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-30,101289.29,0,515.61,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2024-12-31,101289.29,0,511.23,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-02,101289.29,0,510.23,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
2025-01-03,101289.29,0,518.58,0.0,101289.29,0.0,0.012892899999999985,101784.99999999999,-0.0048701675099473984,QQQ,2024-10-16
